Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2024,"Adley Rutschman","BAL",0.271929824,0.803921568,0.225263157,0.345263157,0.429473684,0.107843137,0.093137254,7,0.042682926,0,0,0.42105263,0.35789474,0.22105263,0.15578947,0.55789474,0.28631579,"Adley Rutschman",26288,668939
2007,"Marlon Byrd","TEX",0.363354037,1.440366972,0.196374622,0.474320241,0.329305135,0.064220183,0.091743119,21,0.133757961,1,1,0.41566265,0.34638554,0.23795181,0.17168675,0.54216867,0.28614458,"Marlon Byrd",950,407781
2011,"Miguel Olivo","SEA",0.26993865,0.909090909,0.145348837,0.406976744,0.447674418,0.103896103,0.123376623,11,0.078571428,1,0.5,0.45086705,0.36705202,0.18208092,0.23988439,0.47398844,0.28612717,"Miguel Olivo",1638,400018
2014,"Brandon Crawford","SFG",0.306629834,0.902597402,0.201634877,0.378746594,0.419618528,0.071428571,0.064935064,5,0.035971223,3,0.428571428,0.38770053,0.35294118,0.25935829,0.14171123,0.57219251,0.28609626,"Brandon Crawford",5343,543063
2008,"Vernon Wells","TOR",0.29347826,1.309352517,0.172680412,0.469072164,0.358247422,0.151079136,0.143884892,17,0.093406593,0,0,0.46134021,0.32989691,0.20876289,0.17525773,0.53865979,0.28608247,"Vernon Wells",1326,150484
2023,"José Abreu","HOU",0.276381909,1.238410596,0.1875,0.44951923,0.362980769,0.079470198,0.119205298,13,0.069518716,0,0,0.33894231,0.40384615,0.25721154,0.1875,0.52644231,0.28605769,"Jose Abreu",15676,547989
2007,"Darin Erstad","CHW",0.277566539,1.769230769,0.172413793,0.528735632,0.298850574,0.089743589,0.051282051,11,0.079710144,3,0.25,0.37728938,0.37362637,0.24908425,0.1978022,0.51648352,0.28571429,"Darin Erstad",11,113889
2007,"Jeff Conine","NYM",0.235294117,0.8,0.205882352,0.352941176,0.44117647,0.066666666,0,0,0,0,0,0.42857143,0.28571429,0.28571429,0.17142857,0.54285714,0.28571429,"Jeff Conine",131,112559
2007,"Jose Valentin","NYM",0.272058823,0.709677419,0.226277372,0.321167883,0.452554744,0.161290322,0.048387096,5,0.113636363,1,0.333333333,0.52142857,0.3,0.17857143,0.17857143,0.53571429,0.28571429,"Jose Valentin",256,123610
2007,"Rondell White","MIN",0.172413793,1.352941176,0.12087912,0.505494505,0.373626373,0.088235294,0.117647058,5,0.108695652,0,0,0.46153846,0.27472527,0.26373626,0.21978022,0.49450549,0.28571429,"Rondell White",856,124185
2007,"Ricky Ledee","NYM",0.269230769,1.333333333,0.222222222,0.444444444,0.333333333,0.111111111,0.111111111,1,0.083333333,0,0,0.67857143,0.17857143,0.14285714,0.14285714,0.57142857,0.28571429,"Ricky Ledee",1407,133342
2007,"Jason Ellison","CIN",0.25,1.444444444,0.29032258,0.419354838,0.29032258,0.111111111,0.111111111,1,0.076923076,0,0,0.37142857,0.51428571,0.11428571,0.31428571,0.4,0.28571429,"Jason Ellison",1704,425533
2007,"Terry Evans","LAA",0,0.4,0,0.285714285,0.714285714,0,0.2,0,0,0,0,0.42857143,0.42857143,0.14285714,0.28571429,0.42857143,0.28571429,"Terry Evans",4295,458000
2007,"Rick Van Den Hurk","FLA",0.09090909,1.666666666,0.111111111,0.555555555,0.333333333,0,0,1,0.2,0,0,0.35714286,0.14285714,0.5,0.28571429,0.42857143,0.28571429,"Rick Van Den Hurk",5099,462995
2007,"Seth Smith","COL",0.714285714,2,0.571428571,0.285714285,0.142857142,0,0,1,0.5,0,0,0.42857143,0.28571429,0.28571429,0.42857143,0.28571429,0.28571429,"Seth Smith",7331,452234
2007,"Homer Bailey","CIN",0.5,2,0.5,0.5,0,0,0,0,0,0,0,0,0.42857143,0.57142857,0,0.71428571,0.28571429,"Homer Bailey",8362,456701
2008,"Rafael Furcal","LAD",0.380165289,1.526315789,0.19327731,0.487394957,0.319327731,0.105263157,0.131578947,5,0.086206896,5,0.714285714,0.31746032,0.43650794,0.24603175,0.17460317,0.53968254,0.28571429,"Rafael Furcal",88,279577
2008,"Gary Bennett","LAD",0.15,0.6,0.238095238,0.285714285,0.476190476,0,0.1,0,0,0,0,0.38095238,0.28571429,0.33333333,0.14285714,0.57142857,0.28571429,"Gary Bennett",420,110870
2008,"Brady Clark","NYM",0.333333333,4,0.333333333,0.666666666,0,0,0,0,0,0,0,0.28571429,0.57142857,0.14285714,0,0.71428571,0.28571429,"Brady Clark",1398,276054
2008,"Zack Greinke","KCR",0.333333333,5,0,0.833333333,0.166666666,0,0,1,0.2,0,0,0.85714286,0,0.14285714,0.14285714,0.57142857,0.28571429,"Zack Greinke",1943,425844
2008,"David Newhan","HOU",0.333333333,1.695652173,0.184210526,0.513157894,0.302631578,0.260869565,0.086956521,0,0,1,1,0.51948052,0.33766234,0.14285714,0.20779221,0.50649351,0.28571429,"David Newhan",2009,209315
2008,"Micah Hoffpauir","CHC",0.489361702,0.611111111,0.408163265,0.224489795,0.367346938,0.166666666,0.111111111,1,0.09090909,0,0,0.44897959,0.3877551,0.16326531,0.14285714,0.57142857,0.28571429,"Micah Hoffpauir",4342,451687
2008,"Justin Ruggiano","TBR",0.276595744,1.25,0.265306122,0.408163265,0.326530612,0.0625,0.125,0,0,0,0,0.36734694,0.36734694,0.26530612,0.08163265,0.63265306,0.28571429,"Justin Ruggiano",7620,448605
2008,"Sean Gallagher","CHC",0,1,0,0.5,0.5,0,0,0,0,0,0,0,0.42857143,0.57142857,0.42857143,0.28571429,0.28571429,"Sean Gallagher",8261,451595
2008,"Kevin Slowey","MIN",0.285714285,0.666666666,0.166666666,0.333333333,0.5,0,0,0,0,0,0,0.28571429,0.14285714,0.57142857,0.14285714,0.57142857,0.28571429,"Kevin Slowey",9918,458713
2009,"Jamie Burke","WSN",0.166666666,1,0,0.5,0.5,0,0,0,0,0,0,0.42857143,0.57142857,0,0,0.71428571,0.28571429,"Jamie Burke",6,406550
2009,"Bengie Molina","SFG",0.265700483,0.583333333,0.168202764,0.306451612,0.525345622,0.114035087,0.087719298,2,0.015037593,0,0,0.42396313,0.34562212,0.23041475,0.16589862,0.5483871,0.28571429,"Bengie Molina",24,134260
2009,"Gary Sheffield","NYM",0.29906542,1.261904761,0.151785714,0.473214285,0.375,0.226190476,0.119047619,9,0.08490566,0,0,0.48214286,0.34821429,0.16964286,0.19196429,0.52232143,0.28571429,"Gary Sheffield",114,122111
2009,"Fernando Tatis","NYM",0.312056737,1.363636363,0.193103448,0.465517241,0.34137931,0.09090909,0.08080808,6,0.044444444,0,0,0.41496599,0.32312925,0.26190476,0.15646259,0.55782313,0.28571429,"Fernando Tatis",798,123107
2009,"John Hester","ARI",0.3,0.636363636,0.142857142,0.333333333,0.523809523,0,0.09090909,0,0,0,0,0.23809524,0.47619048,0.28571429,0.23809524,0.47619048,0.28571429,"John Hester",877,452105
2009,"Miguel Cairo","PHI",0.275,0.944444444,0.125,0.425,0.45,0.055555555,0.055555555,1,0.058823529,0,0,0.28571429,0.42857143,0.28571429,0.16666667,0.54761905,0.28571429,"Miguel Cairo",1412,111867
2009,"Brett Hayes","FLA",0.333333333,1.5,0.285714285,0.428571428,0.285714285,0,0.5,0,0,0,0,0.71428571,0.14285714,0.14285714,0.14285714,0.57142857,0.28571429,"Brett Hayes",4293,451109
2009,"Reid Gorecki","ATL",0.357142857,0.2,0.571428571,0.071428571,0.357142857,0.4,0,0,0,0,0,0.35714286,0.42857143,0.21428571,0.21428571,0.5,0.28571429,"Reid Gorecki",4603,434698
2009,"Lastings Milledge","WSN",0.285714285,1.75,0.214285714,0.5,0.285714285,0,0,1,0.142857142,0,0,0.35714286,0.42857143,0.21428571,0.14285714,0.57142857,0.28571429,"Lastings Milledge",6441,451186
2009,"Edwin Bellorin","COL",0.285714285,2,0.142857142,0.571428571,0.285714285,0,0,0,0,0,0,0.14285714,0.57142857,0.28571429,0.28571429,0.42857143,0.28571429,"Edwin Bellorin",7242,431143
2010,"Mike Baxter","SDP",0.142857142,1,0.142857142,0.428571428,0.428571428,0.666666666,0,0,0,0,0,0.42857143,0.42857143,0.14285714,0.28571429,0.42857143,0.28571429,"Mike Baxter",4464,488689
2010,"Robert Andino","BAL",0.340425531,1,0.142857142,0.428571428,0.428571428,0.095238095,0.095238095,2,0.095238095,0,0,0.32653061,0.44897959,0.2244898,0.12244898,0.59183673,0.28571429,"Robert Andino",4900,435180
2010,"Brent Morel","CHW",0.260869565,1.263157894,0.122448979,0.489795918,0.387755102,0,0.157894736,2,0.083333333,0,0,0.42857143,0.34693878,0.2244898,0.16326531,0.55102041,0.28571429,"Brent Morel",6402,543569
2010,"Tim Stauffer","SDP",0.6,2,0.5,0.5,0,0,0,0,0,0,0,0.28571429,0.42857143,0.28571429,0.28571429,0.42857143,0.28571429,"Tim Stauffer",6432,431162
2010,"Fernando Martinez","NYM",0.214285714,1.4,0.142857142,0.5,0.357142857,0.2,0,0,0,0,0,0.5,0.42857143,0.07142857,0.21428571,0.5,0.28571429,"Fernando Martinez",9210,494686
2011,"Laynce Nix","WSN",0.283842794,0.876190476,0.195918367,0.375510204,0.428571428,0.104761904,0.152380952,6,0.065217391,0,0,0.45306122,0.33469388,0.2122449,0.26122449,0.45306122,0.28571429,"Laynce Nix",1766,425556
2011,"Andrew Brown","STL",0.285714285,2.333333333,0.285714285,0.5,0.214285714,0,0,0,0,0,0,0.42857143,0.21428571,0.35714286,0.21428571,0.5,0.28571429,"Andrew Brown",3837,518500
2011,"Cristhian Martinez","ATL",0.4,3,0.25,0.75,0,0,0,0,0,0,0,0.14285714,0.42857143,0.42857143,0,0.71428571,0.28571429,"Cristhian Martinez",5337,450852
2011,"Austin Romine","NYY",0.214285714,1.5,0.285714285,0.428571428,0.285714285,0.25,0,0,0,0,0,0.5,0.14285714,0.35714286,0.35714286,0.35714286,0.28571429,"Austin Romine",5491,519222
2011,"A.J. Ellis","LAD",0.313432835,1.416666666,0.159420289,0.492753623,0.347826086,0.083333333,0.083333333,1,0.029411764,0,0,0.41428571,0.32857143,0.25714286,0.12857143,0.58571429,0.28571429,"A.J. Ellis",5677,454560
2011,"Brandon Wood","LAA",0.333333333,0.666666666,0.166666666,0.333333333,0.5,0.333333333,0,0,0,0,0,0.57142857,0.28571429,0.14285714,0.14285714,0.57142857,0.28571429,"Brandon Wood",6592,457420
